Date,Period,AMZN,NFLX
7/16/2020,136,149.9949951,527.3900146
7/17/2020,137,148.0984955,492.9899902
7/20/2020,138,159.8419952,502.4100037
7/21/2020,139,156.914505,490.1000061
7/22/2020,140,154.9954987,489.8200073
7/23/2020,141,149.3274994,477.5799866
7/24/2020,142,150.4454956,480.4500122
7/27/2020,143,152.760498,495.6499939
7/28/2020,144,150.0164948,488.5100098
7/29/2020,145,151.6764984,484.480011
7/30/2020,146,152.5939941,485.7999878
7/31/2020,147,158.2339935,488.8800049
8/3/2020,148,155.5944977,498.6199951
8/4/2020,149,156.9414978,509.6400146
8/5/2020,150,160.2514954,502.1099854
8/6/2020,151,161.25,509.0799866
8/7/2020,152,158.3730011,494.730011
8/10/2020,153,157.4080048,483.3800049
8/11/2020,154,154.033493,466.9299927
8/12/2020,155,158.1119995,475.4700012
8/13/2020,156,158.0509949,481.3299866
8/14/2020,157,157.401001,482.6799927
8/17/2020,158,159.1204987,482.3500061
8/18/2020,159,165.6244965,491.8699951
8/19/2020,160,163.0240021,484.5299988
8/20/2020,161,164.8684998,497.8999939
8/21/2020,162,164.2359924,492.3099976
8/24/2020,163,165.3730011,488.8099976
8/25/2020,164,167.3244934,490.5799866
8/26/2020,165,172.0924988,547.5300293
8/27/2020,166,170,526.2700195
8/28/2020,167,170.0899963,523.8900146
8/31/2020,168,172.5480042,529.5599976
9/1/2020,169,174.9559937,556.5499878
9/2/2020,170,176.5724945,552.8400269
9/3/2020,171,168.3999939,525.75
9/4/2020,172,164.7310028,516.0499878
9/8/2020,173,157.4920044,507.019989
9/9/2020,174,163.4304962,500.1900024
9/10/2020,175,158.7554932,480.6700134
9/11/2020,176,155.8110046,482.0299988
9/14/2020,177,155.1484985,476.2600098
9/15/2020,178,157.8065033,495.9899902
9/16/2020,179,153.9049988,483.8599854
9/17/2020,180,150.4364929,470.2000122
9/18/2020,181,147.7454987,469.9599915
9/21/2020,182,148.0234985,487.3500061
9/22/2020,183,156.4494934,491.1700134
9/23/2020,184,149.9929962,470.6099854
9/24/2020,185,150.989502,473.0799866
9/25/2020,186,154.7565002,482.8800049
9/28/2020,187,158.7024994,490.6499939
9/29/2020,188,157.2440033,493.480011
9/30/2020,189,157.4364929,500.0299988
10/1/2020,190,161.0630035,527.5100098
10/2/2020,191,156.25,503.0599976
10/5/2020,192,159.9600067,520.6500244
10/6/2020,193,154.9980011,505.8699951
10/7/2020,194,159.7845001,534.6599731
10/8/2020,195,159.5274963,531.789978
10/9/2020,196,164.3325043,539.4400024
10/12/2020,197,172.1464996,539.8099976
10/13/2020,198,172.1815033,554.0900269
10/14/2020,199,168.1855011,541.4500122
10/15/2020,200,166.9324951,541.9400024
10/16/2020,201,163.635498,530.789978
10/19/2020,202,160.3605042,530.7199707
10/20/2020,203,160.8504944,525.4199829
10/21/2020,204,159.246994,489.0499878
10/22/2020,205,158.8200073,485.230011
10/23/2020,206,160.2200012,488.2799988
10/26/2020,207,160.352005,488.2399902
10/27/2020,208,164.3164978,488.9299927
10/28/2020,209,158.1390076,486.2399902
10/29/2020,210,160.5505066,504.2099915
10/30/2020,211,151.8074951,475.7399902
11/2/2020,212,150.223999,484.1199951
11/3/2020,213,152.4205017,487.2200012
11/4/2020,214,162.0579987,496.9500122
11/5/2020,215,166.1000061,513.7600098
11/6/2020,216,165.5684967,514.7299805
11/9/2020,217,157.1869965,470.5
11/10/2020,218,151.7510071,480.2399902
11/11/2020,219,156.8695068,490.7600098
11/12/2020,220,155.5140076,486.769989
11/13/2020,221,156.440506,482.8399963
11/16/2020,222,156.5529938,479.1000061
11/17/2020,223,156.7830048,480.6300049
11/18/2020,224,155.272995,481.7900085
11/19/2020,225,155.8509979,484.6700134
11/20/2020,226,154.9700012,488.2399902
11/23/2020,227,154.9194946,476.6199951
11/24/2020,228,155.9029999,482.8800049
11/25/2020,229,159.2534943,485
11/27/2020,230,159.7669983,491.3599854
11/30/2020,231,158.4019928,490.7000122
12/1/2020,232,161.0039978,504.5799866
12/2/2020,233,160.1764984,503.3800049
12/3/2020,234,159.3365021,497.519989
12/4/2020,235,158.1289978,498.3099976
12/7/2020,236,157.8999939,515.7800293
12/8/2020,237,158.864502,512.6599731
12/9/2020,238,155.2100067,493.6000061
12/10/2020,239,155.0744934,501.0899963
12/11/2020,240,155.8209991,503.2200012
12/14/2020,241,157.8484955,522.4199829
12/15/2020,242,158.2559967,519.7800293
12/16/2020,243,162.0480042,524.8300171
12/17/2020,244,161.8040009,532.9000244
12/18/2020,245,160.0825043,534.4500122
12/21/2020,246,160.3090057,528.9099731
12/22/2020,247,160.326004,527.3300171
12/23/2020,248,159.263504,514.4799805
12/24/2020,249,158.6345062,513.9699707
12/28/2020,250,164.197998,519.1199951
12/29/2020,251,166.1000061,530.8699951
12/30/2020,252,164.2924957,524.5900269
12/31/2020,253,,
1/4/2021,254,,
1/5/2021,255,,
1/6/2021,256,,
1/7/2021,257,,
1/8/2021,258,,
1/11/2021,259,,
1/12/2021,260,,
1/13/2021,261,,
1/14/2021,262,,
