"Subtotal","Shipping","Taxes","Total","Discount Amount","Lineitem quantity","Lineitem price","Refunded Amount","Outstanding Balance","Lineitem discount"
64.45,0,3.55,68,5,1,3.5,0,0,0
41.98,0,2.31,44.29,0,2,20.99,0,0,0
9.5,0,0.53,10.03,0,1,2.5,0,0,0
13.5,0,0.75,14.25,0,1,3.5,0,0,0
84.45,0,4.66,89.11,0,2,5,0,0,0
35.45,0,1.96,37.41,0,1,11.5,0,0,0
55.99,0,3.08,59.07,8,2,22,0,0,8
36,0,1.98,37.98,0,1,36,0,0,0
27.95,0,1.55,29.5,0,1,5,0,0,0
57.75,0,0,57.75,0,1,8.25,0,0,0
25.5,0,1.42,26.92,20.5,1,10,0,0,5
15.5,0,0.86,16.36,5,2,5,0,0,0
22.5,0,1.24,23.74,0,1,12,0,0,0
20,0,1.11,21.11,0,1,15,0,0,0
24,7.09,1.74,32.83,0,1,3.5,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
25,0,1.38,26.38,5,1,4,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
37,0,2.04,39.04,5,3,8,0,0,0
43,0,0.99,43.99,0,1,25,0,0,0
37.5,0,2.07,39.57,0,1,8,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
42,0,2.31,44.31,5,1,20,0,0,0
12.25,0,0.67,12.92,0,1,4,0,0,0
44.99,0,2.47,47.46,0,1,44.99,0,0,0
19,0,1.05,20.05,5,1,24,0,0,0
2.77,0,0.15,2.92,0.48,1,3.25,0,0,0
18.7,0,1.03,19.73,3.3,1,22,0,0,0
21.98,7.09,1.6,30.67,0,2,10.99,0,0,0
183.17,13.96,10.84,207.97,0,2,14.99,0,0,0
24.83,0,1.36,26.19,4.38,1,4.99,0,0,0
4.95,0,0.27,5.22,5,1,9.95,0,0,0
26.95,0,1.49,28.44,0,2,12,0,0,0
11.5,0,0.64,12.14,0,1,3.5,0,0,0
6,0,0.33,6.33,0,1,6,0,0,0
14.99,0,0.82,15.81,0,1,14.99,0,0,0
24.94,0,1.37,26.31,0,1,9.95,0,0,0
27,0,1.49,28.49,0,1,27,0,0,0
26,0,1.44,27.44,0,1,4,0,0,0
42,0,2.32,44.32,0,1,7,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
46,0,2.54,48.54,0,1,20,0,0,0
53.99,0,2.97,56.96,0,1,5,0,0,0
43.5,0,2.4,45.9,0,1,4,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
26,0,1.44,27.44,0,1,4,0,0,0
26,0,1.43,27.43,0,1,18,0,0,0
38.98,0,2.14,41.12,0,1,20.99,0,0,0
156,0,8.58,164.58,0,1,30,0,0,0
45,0,2.48,47.48,0,1,12,0,0,0
15,0,0.83,15.83,0,1,15,0,0,0
14,0,0.77,14.77,0,1,10,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
10,7.09,0.94,18.03,0,1,10,0,0,0
6.99,0,0.38,7.37,0,1,6.99,0,0,0
7.5,0,0.42,7.92,0,1,0.5,0,0,0
16,0,0.88,16.88,0,1,16,0,0,0
18,0,1,19,1.9,1,9.95,0,0,0.95
54,0,2.98,56.98,0,1,27,0,0,0
22,0,1.21,23.21,0,1,22,0,0,0
24,0,1.32,25.32,5,1,6,0,0,0
24.49,0,1.35,25.84,0,1,4,0,0,0
30,0,1.65,31.65,0,1,30,0,0,0
13.2,0,0.73,13.93,0,1,9.95,0,0,0
7.5,0,0.42,7.92,0,1,2.5,0,0,0
39.99,0,1.92,41.91,0,2,4,0,0,0
42,0,2.32,44.32,0,1,6,0,0,0
24,0,1.32,25.32,0,2,12,0,0,0
17,0,0.94,17.94,0,1,12,0,0,0
18,0,1.01,19.01,0,1,3.5,0,0,0
3.5,0,0.19,3.69,5,1,3.5,0,0,0
16.5,0,0.92,17.42,0,1,10,0,0,0
57,0,3.14,60.14,0,1,5,0,0,0
3.5,0,0.2,3.7,0,1,3.5,0,0,0
6.95,0,0.39,7.34,5,1,9.95,0,0,0
30,0,1.65,31.65,0,1,30,0,0,0
25,0,1.38,26.38,0,1,25,0,0,0
33,0,1.8,34.8,18,1,6,0,0,0
11,0,0.61,11.61,0,1,6,0,0,0
25,0,1.38,26.38,5,1,30,0,0,0
25,0,1.38,26.38,0,1,25,0,0,0
16.95,0,0.93,17.88,0,1,16.95,0,0,0
15.95,0,0.88,16.83,0,1,6,0,0,0
12.5,0,0.68,13.18,0,1,6.25,0,0,0
72.99,0,4.02,77.01,0,1,12,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
5.1,0,0.29,5.39,0.9,1,6,0,0,0
6,0,0.33,6.33,0,1,6,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
22,0,1.21,23.21,0,1,22,0,0,0
30,0,1.65,31.65,0,1,30,0,0,0
19.5,0,1.09,20.59,0,1,3.5,0,0,0
15,0,0.83,15.83,0,1,15,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
26,0,1.43,27.43,0,1,26,0,0,0
10.99,0,0.6,11.59,0,1,10.99,0,0,0
6.45,0,0.36,6.81,0,1,3,0,0,0
6.5,0,0.36,6.86,0,1,2.5,0,0,0
14,0,0.77,14.77,0,2,7,0,0,0
76,0,4.18,80.18,0,1,28,0,0,0
7.5,0,0.42,7.92,0,1,2.5,0,0,0
7.09,0,0.4,7.49,0.9,1,1.99,0,0,0
30,0,1.65,31.65,0,1,30,0,0,0
7,0,0.39,7.39,0,1,7,0,0,0
137.99,0,7.59,145.58,0,1,20,0,0,0
45,0,2.48,47.48,5,2,10,0,0,0
11,0,0.61,11.61,0,1,4,0,0,0
66,0,3.63,69.63,0,1,22,0,0,0
120,0,6.6,126.6,0,1,120,0,0,0
89.99,0,4.95,94.94,0,1,11.99,0,0,0
25.49,0,1.4,26.89,0,1,4.5,0,0,0
6,0,0.33,6.33,0,1,6,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
81.99,0,4.52,86.51,0,1,15,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
16.5,9.25,0,25.75,0,1,8.25,0,0,0
18,11.97,0,29.97,0,2,9,0,0,0
26,0,1.44,27.44,0,1,7,0,0,0
38,0,2.09,40.09,0,1,38,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
8.5,0,0.48,8.98,0,1,3.5,0,0,0
39.49,0,2.19,41.68,33.5,1,5,0,0,2
20,0,1.1,21.1,0,1,20,0,0,0
7.5,0,0.42,7.92,0,1,3.75,0,0,0
16.99,0,0.93,17.92,0,1,16.99,0,0,0
42,0,2.33,44.33,0,1,5,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
49.99,0,2.75,52.74,0,1,49.99,0,0,0
54.9,0,3.05,57.95,0,1,5,0,0,0
90.99,0,5.01,96,20,1,37.99,0,0,0
32.98,0,1.81,34.79,0,1,15.99,0,0,0
16.99,0,0.93,17.92,0,1,16.99,0,0,0
131,0,7.21,138.21,0,1,10,0,0,0
6.25,0,0.34,6.59,0,1,6.25,0,0,0
25.98,0,1.42,27.4,0,1,6,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
18,0,0.99,18.99,6,1,24,0,0,6
54,0,2.98,56.98,0,1,25,0,0,0
45,0,2.48,47.48,0,3,5,0,0,0
23,0,1.27,24.27,0,1,18,0,0,0
11,0,0.61,11.61,0,1,6,0,0,0
7,0,0.39,7.39,0,1,7,0,0,0
43,0,2.38,45.38,0,1,5,0,0,0
36,7.64,2.4,46.04,0,2,18,0,0,0
7,0,0.39,7.39,0,2,3.5,0,0,0
73,0,4.03,77.03,0,1,11,0,0,0
28,0,1.54,29.54,5,1,33,0,0,0
65.24,0,3.62,68.86,0,1,3.5,0,0,0
46,0,2.54,48.54,0,1,29,0,0,0
47.48,0,2.62,50.1,0,1,11.5,0,0,0
44.98,0,2.47,47.45,0,1,20.99,0,0,0
9.95,0,0.55,10.5,0,1,9.95,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
40,0,2.2,42.2,0,1,6,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
88,0,4.85,92.85,15,1,10,0,0,0
124.5,0,6.87,131.37,10,1,46,0,0,0
44,0,2.41,46.41,5,1,10,0,0,0
13.4,0,0.74,14.14,5,2,0.95,0,0,0
48,8.71,0,56.71,0,4,12,0,0,0
50.25,0,2.76,53.01,0,1,46,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
15,0,0.83,15.83,0,1,15,0,0,0
21,0,1.16,22.16,15,1,36,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
38,0,2.09,40.09,0,1,8,0,0,0
68.25,0,3.75,72,3.55,4,17.95,0,0,3.55
80,0,4.41,84.41,0,1,7,0,0,0
6,0,0.34,6.34,0,1,2.5,0,0,0
3.25,0,0.18,3.43,0,1,3.25,0,0,0
10,0,0.56,10.56,0,1,5,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
27.17,0,1.48,28.65,4.79,1,4.99,0,0,0
18.49,0,1.02,19.51,0,1,11.99,0,0,0
56,0,3.09,59.09,0,1,14,0,0,0
34.12,0,1.88,36,1.78,2,17.95,0,0,1.78
7,0,0.39,7.39,0,1,7,0,0,0
53.25,0,2.94,56.19,0,1,20,0,0,0
72,0,3.96,75.96,0,1,72,0,0,0
54,0,2.98,56.98,0,1,12,0,28.49,0
15,0,0.84,15.84,0,1,5,0,0,0
8.25,0,0.45,8.7,0,1,8.25,0,0,0
66,0,3.64,69.64,0,1,15,0,0,0
6,0,0.33,6.33,2.5,1,8.5,0,0,2.5
58,0,3.2,61.2,0,1,8,0,0,0
40,0,2.2,42.2,0,1,40,0,0,0
44,0,2.43,46.43,0,1,4,0,0,0
12.9,0,0.71,13.61,10.59,2,2,0,0,1.6
5,0,0.28,5.28,0,1,5,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
33,0,1.82,34.82,0,1,29,0,0,0
55,0,3.03,58.03,0,1,55,0,0,0
55,0,3.03,58.03,0,1,55,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
108.22,0,5.97,114.19,0,1,12,0,0,0
15,0,0.83,15.83,5,1,15,0,0,0
15,0,0.83,15.83,5,1,20,0,0,0
19.7,0,1.11,20.81,0,3,0.5,0,0,0
308,0,16.94,324.94,5,1,24,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
42,0,2.31,44.31,5,1,22,0,0,0
25.75,0,1.43,27.18,2.25,1,15,0,0,2.25
5,0,0.28,5.28,0,1,5,0,0,0
60,0,3.3,63.3,0,1,30,0,0,0
23.9,0,1.32,25.22,0,1,22,0,0,0
21.25,0,1.16,22.41,5,1,8.25,0,0,0
41.5,0,2.29,43.79,0,1,18,0,0,0
0.95,0,0.05,1,0,1,0.95,0,0,0
18,0,1,19,0,1,5,0,0,0
43.99,0,2.43,46.42,15,1,22,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
30,0,1.66,31.66,0,1,7,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
38.5,0,2.12,40.62,0,1,36,0,0,0
33,0,1.82,34.82,0,1,8,0,0,0
76.5,0,4.22,80.72,0,2,22,0,0,0
36,0,1.71,37.71,0,1,15,0,0,0
30,0,1.66,31.66,0,1,15,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
2,0,0.11,2.11,0,1,2,0,0,0
52,0,2.87,54.87,0,1,22,0,0,0
33.9,0,1.87,35.77,0,1,8,0,0,0
30,0,1.65,31.65,0,1,18,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
12.95,0,0.71,13.66,0,1,12,0,0,0
52,0,2.86,54.86,0,1,52,0,0,0
55,0,3.03,58.03,0,1,55,0,0,0
15,0,0.83,15.83,0,1,15,0,0,0
7,0,0.39,7.39,0,1,7,0,0,0
44,0,2.41,46.41,5,1,10,0,0,0
135,0,7.43,142.43,0,1,135,0,0,0
29,0,1.6,30.6,0,1,5,0,0,0
2.9,0,0.11,3.01,0,2,0.95,0,0,0
74,0,4.08,78.08,0,1,5,0,0,0
50,0,2.77,52.77,0,1,5,0,0,0
46.5,0,2.57,49.07,15.5,1,34,0,0,0
66,0,3.64,69.64,1.9,2,9.95,0,0,1.9
33.5,0,1.86,35.36,6.5,1,9,0,0,0
21,0,1.16,22.16,7,1,28,0,0,0
1,0,0,1,0,1,1,0,0,0
3.9,0,0.23,4.13,0,2,0.95,0,0,0
1,0,0,1,0,1,1,0,0,0
44,0,2.42,46.42,0,1,26,0,0,0
5,0,0,5,0,1,5,0,0,0
51.85,0,2.86,54.71,9.14,1,16.99,0,0,0
25,0,1.38,26.38,5,2,15,0,0,0
22,0,1.21,23.21,0,1,22,0,0,0
27,0,1.49,28.49,0,1,27,0,0,0
9.95,0,0.55,10.5,0,1,9.95,0,0,0
21.13,0,1.15,22.28,25.85,1,24.99,0,0,12.5
47,0,2.59,49.59,0,1,23,0,0,0
37,0,2.05,39.05,0,1,5,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
443.6,0,24.4,468,23.1,26,17.95,0,0,23.1
50.7,0,2.81,53.51,0,1,8,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
23.99,0,1.32,25.31,0,1,11.99,0,0,0
11,7.93,0,18.93,0,1,11,0,0,0
11,7.51,1.03,19.54,0,1,11,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
12,0,0.66,12.66,5,2,2,0,0,0
23.49,0,1.3,24.79,0,1,7.99,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
33.9,0,1.89,35.79,0,1,5,0,0,0
14,0,0.77,14.77,0,1,14,0,0,0
51.73,0,2.86,54.59,0,2,12.99,0,0,0
51.99,0,2.86,54.85,0,1,27,0,0,0
28,0,1.54,29.54,0,1,6,0,0,0
25.99,0,1.43,27.42,0,1,25.99,0,0,0
4,0,0.22,4.22,0,2,2,0,0,0
28,0,1.54,29.54,0,1,28,0,0,0
26,0,1.43,27.43,0,1,26,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
21.75,0,1.21,22.96,1.9,1,9.95,0,0,0.95
50.9,2,2.92,55.82,0,1,8,0,0,0
6.5,0,0.36,6.86,0,1,6.5,0,0,0
23.49,0,1.29,24.78,0,1,2.5,0,0,0
33,0,1.8,34.8,5,1,10,0,0,0
34,0,1.88,35.88,0,1,24,0,0,0
2.5,0,0.14,2.64,0,1,2.5,0,0,0
29.99,0,1.65,31.64,10,1,39.99,0,0,10
30,0,1.65,31.65,0,2,15,0,0,0
8,0,0.45,8.45,0,1,3,0,0,0
18.49,0,1.03,19.52,0,1,3.5,0,0,0
7.5,0,0.42,7.92,0,1,3.5,0,0,0
28,0,1.54,29.54,0,1,28,0,0,0
4.25,0,0.23,4.48,0.75,1,5,0,0,0
50,0,2.75,52.75,0,1,22,0,0,0
34,0,1.87,35.87,0,1,12,0,0,0
16.25,0,0.89,17.14,0,1,6.25,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
34.98,0,1.92,36.9,5,1,24.99,0,0,0
14.49,0,0.8,15.29,0,1,0.99,0,0,0
108.49,0,0,108.49,0,1,3.5,0,0,0
41.99,0,2.3,44.29,5,1,10,0,0,0
25.98,0,1.43,27.41,0,2,12.99,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
80.95,0,4.46,85.41,0,1,25,0,0,0
28,0,1.54,29.54,0,1,18,0,0,0
41,0,2.26,43.26,0,1,11,0,0,0
53.99,0,2.97,56.96,5,1,23,0,0,0
186.99,0,4.8,191.79,0,1,19.99,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
24.99,7.93,0,32.92,0,1,24.99,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
0,0,0,0,0,1,0,0,0,0
58.5,0,3.22,61.72,0,1,24,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
2.99,0,0.16,3.15,0,1,2.99,0,0,0
277.88,0,15.31,293.19,19,1,18,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
15,0,0.83,15.83,0,1,15,0,0,0
17,0,0.93,17.93,2.99,1,4.99,0,0,0
21,0,1.15,22.15,5,1,8,0,0,0
35,0,1.93,36.93,0,1,12,0,0,0
20.35,0,1.11,21.46,5,1,12,0,0,0
12.95,0,0.72,13.67,0,1,9.95,0,0,0
23.5,0,1.3,24.8,0,1,3,0,0,0
23,0,1.27,24.27,0,1,23,0,0,0
45.97,0,2.53,48.5,0,1,5,0,0,0
27,0,1.49,28.49,0,1,24,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
23.95,0,1.32,25.27,0,1,16.95,0,0,0
17.98,0,1,18.98,5,1,4.99,0,0,0
42.5,0,2.34,44.84,0,1,4.5,0,0,0
4.75,0,0.26,5.01,0,1,4.75,0,0,0
18,0,0.99,18.99,0,2,9,0,0,0
20,0,1.1,21.1,0,2,10,0,0,0
14.5,0,0.8,15.3,0,1,4.5,0,0,0
35,0,1.94,36.94,5,1,8,0,0,0
48.49,0,2.68,51.17,5,1,32.99,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
16.24,0,0.9,17.14,0,1,4.99,0,0,0
42.99,0,2.37,45.36,0,1,37.99,0,0,0
47,0,2.59,49.59,0,1,10,0,0,0
43,0,2.38,45.38,0,1,3,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
19.5,0,1.08,20.58,0,1,5,0,0,0
34,0,1.87,35.87,0,1,34,0,0,0
33,0,1.82,34.82,0,1,33,0,0,0
18,0,1,19,1.9,1,9.95,0,0,0.95
5,0,0.28,5.28,0,1,5,0,0,0
58.5,0,3.26,61.76,0,1,5,0,0,0
88.45,0,4.88,93.33,0,1,7,0,0,0
7,0,0.39,7.39,5,1,12,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
17.95,0,0.99,18.94,5,1,5,0,0,0
57.99,0,3.2,61.19,5,2,13,0,0,0
33,0,1.82,34.82,0,1,23,0,0,0
18,0,1,19,0,1,9,0,0,0
44,0,2.42,46.42,0,1,22,0,0,0
8.25,0,0.45,8.7,0,1,8.25,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
2.85,0,0.15,3,0,3,0.95,0,0,0
23,0,1.27,24.27,0,1,8,0,0,0
110,0,6.05,116.05,0,5,10,0,0,0
53,0,2.92,55.92,0,1,33,0,0,0
64.99,0,3.58,68.57,5,1,12,0,0,0
4.5,0,0.25,4.75,2,1,6.5,0,0,2
33.1,0,1.82,34.92,5,1,6.25,0,0,0
9,0,0.5,9.5,0,1,5,0,0,0
10,0,0.56,10.56,0,1,5,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
11,0,0.61,11.61,0,1,11,0,0,0
46,0,2.53,48.53,0,1,34,0,0,0
47.45,7.64,2.76,57.85,0,1,3.5,0,0,0
17.95,0,0.99,18.94,0,1,17.95,0,0,0
32,0,1.77,33.77,0,1,7,0,0,0
21.25,0,1.17,22.42,3.75,1,25,0,0,3.75
18,0,0.99,18.99,10,1,12,0,0,0
19.75,0,1.09,20.84,5,1,6.5,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
3.25,0,0.18,3.43,0,1,3.25,0,0,0
29,0,1.6,30.6,0,1,29,0,0,0
24.98,0,1.37,26.35,0,1,12.99,0,0,0
31.5,0,1.74,33.24,0,1,4,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
72,0,3.96,75.96,0,1,72,0,0,0
56.98,0,3.14,60.12,0,2,3,0,0,0
19,7.39,1.47,27.86,5,1,12,0,0,0
122.74,0,6.76,129.5,0,1,11.5,0,0,0
89.5,0,4.94,94.44,0,1,5,0,0,0
21,0,1.16,22.16,0,1,10,0,0,0
25,0,1.39,26.39,0,1,5,0,0,0
54.97,0,3.02,57.99,5,1,59.97,0,0,0
57,0,3.15,60.15,0,1,3,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
49,0,2.7,51.7,0,1,8,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
9,0,0.5,9.5,6,1,15,0,0,0
129.5,0,7.13,136.63,0,1,24,0,0,0
4,0,0.22,4.22,0,1,4,0,0,0
36,0,1.98,37.98,0,1,36,0,0,0
29,0,1.6,30.6,0,1,29,0,0,0
24,0,1.32,25.32,0,1,24,0,0,0
22.99,0,1.26,24.25,0,1,22.99,0,0,0
69.99,0,3.87,73.86,5,1,16,0,0,0
118.49,0,6.53,125.02,0,1,18,0,18.99,0
24.75,0,1.37,26.12,0,1,6.5,0,0,0
15,0,0.84,15.84,0,1,9,0,0,0
35.5,0,1.96,37.46,0,1,11.5,0,0,0
48.99,0,2.69,51.68,0,1,18.99,0,0,0
2.95,0,0.16,3.11,0,1,2.95,0,0,0
15,0,0.83,15.83,0,1,15,0,0,0
10,0,0.56,10.56,0,1,5,0,0,0
110,0,6.05,116.05,0,2,55,0,0,0
27.95,0,1.54,29.49,0,1,20,0,0,0
19.5,0,1.09,20.59,0,2,2.75,0,0,0
36,0,1.98,37.98,0,1,18,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
59,0,3.25,62.25,0,1,39,0,0,0
3,0,0.17,3.17,0,1,3,0,0,0
76,0,4.2,80.2,0,1,7,0,0,0
72,0,3.96,75.96,0,1,72,0,0,0
41.99,0,2.31,44.3,0,2,12,0,0,0
21.21,0,1.17,22.38,17.79,1,20,0,0,10.19
7,0,0.39,7.39,0,1,7,0,0,0
36,0,1.98,37.98,0,2,16,0,0,0
23,0,1.27,24.27,0,1,23,0,0,0
70,0,3.86,73.86,0,1,16,0,0,0
49,0,2.7,51.7,0,1,49,0,0,0
21,0,1.16,22.16,0,1,4,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
4.99,0,0.27,5.26,0,1,4.99,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
35.9,0,1.98,37.88,0,1,8,0,0,0
26.25,0,1.44,27.69,5,1,3.5,0,0,0
35.75,0,1.97,37.72,0,1,16,0,0,0
24,0,1.32,25.32,0,1,24,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
28,0,1.54,29.54,0,1,12,0,0,0
22.99,0,1.26,24.25,5,1,17.99,0,0,0
67,0,3.69,70.69,5,1,72,0,0,0
47.25,0,2.6,49.85,0.25,1,4.5,0,0,0
58.25,0,3.2,61.45,0,1,4.25,0,0,0
101.5,0,5.6,107.1,0,1,7,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
1.9,0,0.11,2.01,0,2,0.95,0,0,0
14,0,0.77,14.77,0,1,14,0,0,0
39,0,2.16,41.16,0,1,7,0,0,0
7,0,0.39,7.39,0,1,7,0,0,0
136.99,0,7.54,144.53,5,1,22,0,0,0
96,0,5.28,101.28,0,1,12,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
23,0,1.26,24.26,5,1,8,0,0,0
95,0,5.23,100.23,0,1,95,0,0,0
16,0,0.88,16.88,0,1,8,0,0,0
52,0,2.86,54.86,0,1,12,0,0,0
52,0,2.86,54.86,0,1,52,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
14.95,7.09,1.21,23.25,0,1,14.95,0,0,0
80,0,4.4,84.4,0,2,40,0,0,0
50,0,2.75,52.75,5,1,28,0,0,0
5.5,0,0.31,5.81,0,1,3,0,0,0
45.99,0,2.53,48.52,0,1,4.99,0,0,0
35.5,0,1.97,37.47,0,1,3,0,0,0
15,0,0.83,15.83,0,1,5,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
34.95,0,1.93,36.88,0,1,10,0,0,0
45,0,2.48,47.48,0,1,18,0,0,0
34.94,0,1.92,36.86,0,1,17.95,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
24.95,8.71,0,33.66,0,5,4.99,0,0,0
17,0,0.94,17.94,12.99,1,11.99,0,0,5.99
69.98,0,0,69.98,0,1,7.99,0,0,0
12.94,0,0.71,13.65,0,1,11.99,0,0,0
23.98,0,1.32,25.3,0,1,11.99,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
0.5,0,0.03,0.53,0,1,0.5,0,0,0
36,0,1.98,37.98,0,1,4,0,0,0
38,0,2.09,40.09,0,1,8,0,0,0
86,0,4.73,90.73,0,1,22,0,0,0
5,0,0.28,5.28,5,1,10,0,0,0
75,0,4.13,79.13,0,1,75,0,0,0
13.45,0,0.74,14.19,5,1,2.95,0,0,0
51,0,2.81,53.81,0,2,18,0,0,0
15,0,0.83,15.83,0,1,15,0,0,0
140,0,7.72,147.72,0,1,38,0,0,0
41,0,2.26,43.26,0,1,7,0,0,0
6.99,0,0.38,7.37,0,1,6.99,0,0,0
8.75,0,0.48,9.23,0,1,4.75,0,0,0
85,0,4.68,89.68,0,1,46,0,0,0
36,0,1.98,37.98,0,1,36,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
23.5,0,1.3,24.8,0,1,12,0,0,0
49.99,0,2.75,52.74,0,1,49.99,0,0,0
2,0,0.11,2.11,0,1,2,0,0,0
24,0,1.32,25.32,0,1,12,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
8.75,0,0.48,9.23,0,1,4.5,0,0,0
69.49,0,3.84,73.33,0,1,22,0,0,0
18.99,0,1.04,20.03,0,1,18.99,0,0,0
16.25,0,0.9,17.15,0,1,7,0,0,0
85,0,4.68,89.68,0,1,20,0,0,0
18,0,1,19,0,1,7,0,0,0
71.8,0,3.95,75.75,4.2,1,18,0,0,0
9.98,0,0.54,10.52,0,1,4.99,0,0,0
10,0,0.55,10.55,0,2,2,0,0,0
39,0,2.16,41.16,0,1,24,0,0,0
115,0,6.33,121.33,5,1,120,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
59,0,3.25,62.25,0,1,6.5,0,0,0
9,0,0.5,9.5,0,3,3,0,0,0
31,0,1.71,32.71,0,1,9,0,0,0
33,0,1.82,34.82,0,1,33,0,0,0
67,0,3.69,70.69,5,1,72,0,0,0
131,0,7.21,138.21,0,4,11,0,0,0
22,0,1.21,23.21,0,1,22,0,0,0
51,0,0,51,0,1,6,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
9,0,0.5,9.5,5,1,14,0,0,0
51.5,0,2.84,54.34,0,4,8,0,0,0
72,0,3.98,75.98,0,1,15,0,0,0
3,0,0.17,3.17,0,1,3,0,0,0
28,0,1.54,29.54,0,1,28,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
25,0,1.38,26.38,0,1,5,0,0,0
45,0,2.48,47.48,0,1,45,0,0,0
183.98,0,10.14,194.12,0,1,5,0,0,0
31,12.21,0,43.21,0,1,10,0,0,0
108,0,5.97,113.97,0,2,18,0,0,0
22,0,1.21,23.21,0,1,22,0,0,0
39.9,0,2.19,42.09,5,1,34,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
34.99,0,1.92,36.91,0,1,4.99,0,0,0
18.5,0,1.03,19.53,0,1,3.5,0,0,0
46,0,2.53,48.53,0,1,28,0,0,0
17.75,0,0.98,18.73,0,1,4.75,0,0,0
74.5,0,4.11,78.61,0,1,4,0,0,0
26,0,1.43,27.43,0,1,26,0,0,0
13.75,0,0.76,14.51,11.25,1,4,0,0,1.25
10,0,0.55,10.55,0,1,10,0,0,0
44,0,2.43,46.43,6,1,15,0,0,6
72,0,3.96,75.96,0,1,20,0,0,0
